evaluation,minmax_mean,minmax_sample_sd,zscore_mean,zscore_sample_sd,none_mean,none_sample_sd
1,0.1526373517,0.0000000000,0.1526373517,0.0000000000,0.1526373517,0.0000000000
2,0.2323653602,0.0055132554,0.2323653602,0.0055132554,0.2323653602,0.0055132554
3,0.2349840070,0.0076433950,0.2349840070,0.0076433950,0.2349840070,0.0076433950
4,0.2367201219,0.0080735776,0.2367201219,0.0080735776,0.2367201219,0.0080735776
5,0.2490106383,0.0153039418,0.2490106383,0.0153039418,0.2490106383,0.0153039418
6,0.2565030197,0.0146865145,0.2565030197,0.0146865145,0.2565030197,0.0146865145
7,0.2576089259,0.0145472375,0.2584924304,0.0138976741,0.2575681263,0.0145661759
8,0.2616329567,0.0124108307,0.2633217359,0.0119615409,0.2597845468,0.0130276175
9,0.2626668347,0.0121362290,0.2765053347,0.0262447582,0.2598861104,0.0129675422
10,0.2723823527,0.0224809336,0.2965272682,0.0438650600,0.2619350977,0.0134116655
11,0.2745916611,0.0228912111,0.2998436649,0.0424471591,0.2663910928,0.0165666733
12,0.2749564567,0.0232525669,0.3010400417,0.0411987799,0.2707705780,0.0137853464
13,0.2769915514,0.0249447232,0.3186656155,0.0423703322,0.2813384082,0.0249179173
14,0.2827354534,0.0211354856,0.3414743045,0.0363272744,0.2954918487,0.0439662858
15,0.2856230708,0.0252851381,0.3457997767,0.0377069656,0.2957283732,0.0443415879
16,0.2861850235,0.0249605362,0.3473933802,0.0365736587,0.2959471813,0.0441769336
17,0.2910628000,0.0246584286,0.3555190732,0.0368395461,0.3026632707,0.0431217468
18,0.2947981283,0.0238925325,0.3572633056,0.0359998545,0.3029136336,0.0430949575
19,0.3038959035,0.0264449005,0.3682639032,0.0131146987,0.3047307083,0.0449624786
20,0.3100204020,0.0367060615,0.3750493987,0.0182207175,0.3141881682,0.0476867662
21,0.3108119906,0.0359385987,0.3754553067,0.0184729967,0.3142039415,0.0476903297
22,0.3119090077,0.0363315108,0.3758586214,0.0186682979,0.3146645554,0.0477834740
23,0.3124466421,0.0361178048,0.3819402319,0.0185649965,0.3179836842,0.0458164757
24,0.3124992945,0.0361030948,0.3832525661,0.0196678796,0.3185515728,0.0456557492
25,0.3141086092,0.0347348511,0.3853279651,0.0179012672,0.3193401542,0.0449829045
26,0.3151499642,0.0359301069,0.3863581961,0.0181745186,0.3196860922,0.0456262153
27,0.3154061658,0.0358602283,0.3878415732,0.0172378037,0.3201196766,0.0465072035
28,0.3347712297,0.0476625783,0.3888898155,0.0167954963,0.3250862303,0.0447882303
29,0.3349635338,0.0474680430,0.3903141021,0.0179818098,0.3250872474,0.0447881412
30,0.3355175492,0.0475007508,0.3919738965,0.0174987028,0.3255400945,0.0447764485
31,0.3359128887,0.0472826714,0.3927053460,0.0166642751,0.3255437344,0.0447733029
32,0.3359173238,0.0472851943,0.3928142090,0.0167179910,0.3255482559,0.0447819685
33,0.3364894753,0.0478455021,0.3939968050,0.0169099277,0.3265052278,0.0443747231
34,0.3375157328,0.0479658039,0.3945333069,0.0165465511,0.3271108738,0.0455846771
35,0.3380816456,0.0474558314,0.3949431816,0.0167431901,0.3279269729,0.0455519178
36,0.3602502235,0.0452246378,0.3956313530,0.0173438039,0.3437015815,0.0577873862
37,0.3627575169,0.0479279313,0.3959486438,0.0174015315,0.3439147821,0.0579162210
38,0.3638298273,0.0486493497,0.3959873332,0.0173995067,0.3439347171,0.0579433836
39,0.3870791506,0.0302387053,0.4046088060,0.0059348183,0.3439398619,0.0579399065
40,0.3871979113,0.0303108535,0.4048275096,0.0058519704,0.3442268152,0.0577473230
41,0.3872457856,0.0302927035,0.4051446171,0.0059844820,0.3442284012,0.0577468943
42,0.3882553435,0.0310504675,0.4055354980,0.0061286022,0.3450013143,0.0584593410
43,0.3896052655,0.0320756339,0.4056521404,0.0061951251,0.3450369442,0.0584268577
44,0.3910570082,0.0318834055,0.4063551479,0.0061334048,0.3459413581,0.0597109668
45,0.3920375424,0.0320181539,0.4067530475,0.0055338691,0.3462396910,0.0599539115
46,0.3926251675,0.0324785401,0.4070524307,0.0056731969,0.3462399001,0.0599542108
47,0.3932210362,0.0323486473,0.4079386268,0.0056441468,0.3464515716,0.0598146351
48,0.3939580441,0.0327654274,0.4082597715,0.0059214054,0.3471080048,0.0595264997
49,0.3978170495,0.0326064636,0.4085990024,0.0061658842,0.3472741214,0.0597227678
50,0.3980397127,0.0327761139,0.4086912999,0.0062344723,0.3472802138,0.0597200092
